TBA,TBA,TBA,TBA,TBA
Cobb Hall,203,Mon,09:30 AM,10:20 AM
Cobb Hall,203,Wed,09:30 AM,10:20 AM
Cobb Hall,203,Fri,09:30 AM,10:20 AM
Cobb Hall,203,Mon,09:30 AM,10:20 AM
Cobb Hall,203,Wed,09:30 AM,10:20 AM
Cobb Hall,203,Fri,09:30 AM,10:20 AM
Oriental Institute,210,Tue,11:00 AM,12:20 PM
Oriental Institute,210,Thu,11:00 AM,12:20 PM
Oriental Institute,210,Tue,11:00 AM,12:20 PM
Oriental Institute,210,Thu,11:00 AM,12:20 PM
Hinds Lab Geo Sci,101,Mon,09:30 AM,10:20 AM
Hinds Lab Geo Sci,101,Wed,09:30 AM,10:20 AM
Hinds Lab Geo Sci,101,Fri,09:30 AM,10:20 AM
Midway Studios,112,Wed,01:30 PM,04:20 PM
Cochrane-Woods Art Ctr,157,Wed,03:00 PM,04:20 PM
Crerar Library,134,Fri,12:30 PM,04:50 PM
Rosenwald Hall ,11,Mon,03:00 PM,04:20 PM
Rosenwald Hall ,11,Wed,03:00 PM,04:20 PM
Cobb Hall,115,Mon,10:30 AM,11:20 AM
Cobb Hall,115,Wed,10:30 AM,11:20 AM
Cobb Hall,115,Fri,10:30 AM,11:20 AM
Cobb Hall,115,Mon,10:30 AM,11:20 AM
Cobb Hall,115,Wed,10:30 AM,11:20 AM
Cobb Hall,115,Fri,10:30 AM,11:20 AM
Cobb Hall,107,Mon,09:30 AM,10:20 AM
Cobb Hall,107,Wed,09:30 AM,10:20 AM
Cobb Hall,107,Fri,09:30 AM,10:20 AM
Cobb Hall,107,Mon,09:30 AM,10:20 AM
Cobb Hall,107,Wed,09:30 AM,10:20 AM
Cobb Hall,107,Fri,09:30 AM,10:20 AM
Cobb Hall,107,Mon,10:30 AM,11:20 AM
Cobb Hall,107,Wed,10:30 AM,11:20 AM
Cobb Hall,107,Fri,10:30 AM,11:20 AM
Cobb Hall,107,Mon,10:30 AM,11:20 AM
Cobb Hall,107,Wed,10:30 AM,11:20 AM
Cobb Hall,107,Fri,10:30 AM,11:20 AM
Cobb Hall,115,Mon,11:30 AM,12:20 PM
Cobb Hall,115,Wed,11:30 AM,12:20 PM
Cobb Hall,115,Fri,11:30 AM,12:20 PM
Cobb Hall,107,Tue,09:00 AM,10:20 AM
Cobb Hall,107,Thu,09:00 AM,10:20 AM
Cobb Hall,115,Mon,11:30 AM,12:20 PM
Cobb Hall,115,Wed,11:30 AM,12:20 PM
Cobb Hall,115,Fri,11:30 AM,12:20 PM
Oriental Institute,208,Tue,02:00 PM,03:20 PM
Oriental Institute,208,Thu,02:00 PM,03:20 PM
Oriental Institute,208,Tue,02:00 PM,03:20 PM
Oriental Institute,208,Thu,02:00 PM,03:20 PM
Wieboldt Hall,111,Tue,11:00 AM,12:20 PM
Wieboldt Hall,111,Thu,11:00 AM,12:20 PM
Wieboldt Hall,111,Tue,11:00 AM,12:20 PM
Wieboldt Hall,111,Thu,11:00 AM,12:20 PM
Oriental Institute,210,Mon,10:30 AM,11:20 AM
Oriental Institute,210,Wed,10:30 AM,11:20 AM
Oriental Institute,210,Fri,10:30 AM,11:20 AM
TBA,TBA,TBA,TBA,TBA
Classics Building ,21,TBA,TBA,TBA
