TBA,TBA,TBA,TBA,TBA
Cobb Hall,203,Fri,09:30 AM,10:20 AM
Cobb Hall,203,Fri,09:30 AM,10:20 AM
Oriental Institute,210,Thu,11:00 AM,12:20 PM
Oriental Institute,210,Thu,11:00 AM,12:20 PM
Hinds Lab Geo Sci,101,Fri,09:30 AM,10:20 AM
Midway Studios,112,Wed,01:30 PM,04:20 PM
Cochrane-Woods Art Ctr,157,Wed,03:00 PM,04:20 PM
Crerar Library,134,Fri,12:30 PM,04:50 PM
Rosenwald Hall ,11,Wed,03:00 PM,04:20 PM
Cobb Hall,115,Fri,10:30 AM,11:20 AM
Cobb Hall,115,Fri,10:30 AM,11:20 AM
Cobb Hall,107,Fri,09:30 AM,10:20 AM
Cobb Hall,107,Fri,09:30 AM,10:20 AM
Cobb Hall,107,Fri,10:30 AM,11:20 AM
Cobb Hall,107,Fri,10:30 AM,11:20 AM
Cobb Hall,115,Fri,11:30 AM,12:20 PM
Cobb Hall,107,Thu,09:00 AM,10:20 AM
Cobb Hall,115,Fri,11:30 AM,12:20 PM
Oriental Institute,208,Thu,02:00 PM,03:20 PM
Oriental Institute,208,Thu,02:00 PM,03:20 PM
Wieboldt Hall,111,Thu,11:00 AM,12:20 PM
Wieboldt Hall,111,Thu,11:00 AM,12:20 PM
Oriental Institute,210,Fri,10:30 AM,11:20 AM
TBA,TBA,TBA,TBA,TBA
Classics Building ,21,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Thu,06:00 AM,04:00 PM
TBA,TBA,Thu,06:00 AM,04:00 PM
TBA,TBA,Thu,06:00 AM,04:00 PM
TBA,TBA,Thu,06:00 AM,04:00 PM
TBA,TBA,Thu,06:00 AM,04:00 PM
TBA,TBA,Thu,06:00 AM,04:00 PM
Swift Hall,208,Mon,09:30 AM,12:20 PM
Swift Hall,207,Thu,11:00 AM,01:50 PM
Haskell Hall,315,Thu,12:30 PM,01:50 PM
Haskell Hall,101,Wed,01:30 PM,04:20 PM
Pick Hall,218,Fri,10:30 AM,11:50 AM
Oriental Institute,208,Wed,01:30 PM,02:50 PM
Oriental Institute,208,Wed,03:00 PM,04:20 PM
Oriental Institute,210,Mon,03:00 PM,05:20 PM
Rosenwald Hall ,11,Thu,02:00 PM,03:20 PM
Haskell Hall,315,Wed,01:30 PM,02:50 PM
TBA,TBA,Thu,02:00 PM,03:20 PM
Haskell Hall,315,Thu,12:30 PM,01:50 PM
Haskell Hall,101,Thu,03:30 PM,04:50 PM
Harper Mem Library,140,Thu,02:00 PM,03:20 PM
Rosenwald Hall,405,Thu,11:00 AM,12:20 PM
 S. University 10,5733,Thu,12:30 PM,01:50 PM
 Building 289,1155,Fri,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Wed,03:00 PM,04:20 PM
Hinds Lab Geo Sci,101,Wed,01:30 PM,02:20 PM
Haskell Hall,101,Tue,09:30 AM,12:20 PM
Foster Hall,107,Thu,11:00 AM,12:20 PM
TBA,TBA,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,152,Fri,01:00 PM,04:00 PM
 S. University 10,5733,Wed,01:30 PM,02:50 PM
Cobb Hall,110,Wed,04:30 PM,05:50 PM
Cobb Hall,203,Thu,09:30 AM,10:50 AM
Cobb Hall,116,Thu,12:30 PM,01:50 PM
Harper Mem Library,148,Wed,01:30 PM,02:50 PM
Stuart Hall,105,Wed,01:30 PM,02:50 PM
Cobb Hall,115,Wed,04:30 PM,05:50 PM
TBA,TBA,Wed,01:30 PM,02:50 PM
Pick Hall,319,Wed,03:00 PM,04:20 PM
Stuart Hall,105,Tue,09:30 AM,10:50 AM
 Building 289,1155,Tue,12:30 PM,03:20 PM
Saieh Hall for Economics,247,Wed,12:30 PM,03:20 PM
Rosenwald Hall,329,Wed,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,148,Wed,03:00 PM,04:20 PM
Cobb Hall,301,Thu,02:00 PM,03:20 PM
Cobb Hall,301,Thu,03:30 PM,04:50 PM
Rosenwald Hall,329,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
 Building 289,1155,Fri,01:30 PM,04:20 PM
Logan Center ,28,Thu,02:00 PM,04:50 PM
 S. University Room 10,5737,Wed,01:30 PM,04:20 PM
Social Sciences Rsch Bldg,108,Wed,09:30 AM,12:20 PM
Stuart Hall,105,Tue,09:30 AM,10:50 AM
 Building 289,1155,Tue,12:30 PM,03:20 PM
Rosenwald Hall,329,Wed,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,140,Thu,02:00 PM,03:20 PM
Social Sciences Rsch Bldg,401,Fri,03:00 PM,05:50 PM
TBA,TBA,TBA,TBA,TBA
Haskell Hall,101,Thu,03:30 PM,04:50 PM
Haskell Hall,315,Thu,12:30 PM,01:50 PM
Haskell Hall,101,Wed,01:30 PM,04:20 PM
Wieboldt Hall,102,Fri,12:30 PM,03:20 PM
Haskell Hall,101,Thu,11:00 AM,01:50 PM
Rosenwald Hall,208,Wed,01:30 PM,04:20 PM
Midway Studios,102,Tue,12:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Oriental Institute,208,Fri,09:30 AM,10:50 AM
Oriental Institute,208,Fri,09:30 AM,10:50 AM
Saieh Hall for Economics,247,Fri,10:30 AM,11:50 AM
Saieh Hall for Economics,247,Fri,10:30 AM,11:50 AM
Cobb Hall,425,Fri,01:30 PM,02:50 PM
Cobb Hall,425,Fri,01:30 PM,02:50 PM
Cobb Hall,425,Fri,09:30 AM,10:50 AM
Cobb Hall,425,Fri,09:30 AM,10:50 AM
Cobb Hall,205,Fri,12:30 PM,01:50 PM
Cobb Hall,205,Fri,12:30 PM,01:50 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,141,Wed,01:30 PM,02:50 PM
